kepid,label,has_confirmed_planet,confirmed_planet_count,detectable_planet_count,confirmed_planet_names,split,signal_count,periods_days,epochs_bkjd,durations_hours,quarters
2584163,CONFIRMED,1,1,1,Kepler-754 b,train,1,14.5598556,135.95038,5.624,4;5;6
2693736,CONFIRMED,1,1,1,Kepler-1034 b,train,1,12.12401737,134.955,3.3091,4;5;6
2713049,CONFIRMED,1,1,1,Kepler-683 b,train,1,2.539183147,169.67494,2.4282,4;5;6
2716853,CONFIRMED,1,1,1,Kepler-752 b,train,1,18.82744023,196.19088,4.664,4;5;6
2717158,CONFIRMED,1,1,1,Kepler-1922 b,train,1,13.2226149,144.295,4.337,4;5;6
2718778,CONFIRMED,1,1,1,Kepler-1844 b,train,1,3.92453009,132.40179,3.691,4;5;6
2721030,CONFIRMED,1,1,1,Kepler-766 b,train,1,6.10027621,135.58656,4.7476,4;5;6
2831055,CONFIRMED,1,1,1,Kepler-1601 b,train,1,2.20923119,131.90288,2.392,4;5;6
2832589,CONFIRMED,1,1,1,Kepler-1978 b,train,1,10.84969477,136.74432,3.474,4;5;6
2837111,CONFIRMED,1,1,1,Kepler-771 b,train,1,8.7348852,135.0818,4.49,4;5;6
2849805,CONFIRMED,1,1,1,Kepler-773 b,train,1,3.749105745,135.10837,1.9826,4;5;6
2854698,CONFIRMED,1,2,1,Kepler-260 b;Kepler-260 c,train,1,8.18739443,260.86931,3.0472,4;5;6
2989404,CONFIRMED,1,2,2,Kepler-323 b;Kepler-323 c,train,2,1.6783263;3.553831111,136.05259;134.64066,2.5123;3.1029,4;5;6
2990873,CONFIRMED,1,1,1,Kepler-1194 b,train,1,16.22378479,136.02454,2.5462,4;5;6
3102384,CONFIRMED,1,1,1,Kepler-454 b,train,1,10.573751447,175.067739,1.7259,4;5;6
3114167,CONFIRMED,1,1,1,Kepler-684 b,train,1,6.770300385,170.57662,2.0844,4;5;6
3114811,CONFIRMED,1,1,1,Kepler-774 b,train,1,11.08956602,141.76142,6.2877,4;5;6
3116412,CONFIRMED,1,1,1,Kepler-772 b,train,1,12.99204853,136.32016,6.0175,4;5;6
3122913,CONFIRMED,1,1,1,Kepler-1845 b,train,1,11.60653061,134.41637,2.194,4;5;6
3217264,CONFIRMED,1,3,1,Kepler-149 b;Kepler-149 c;Kepler-149 d,train,1,29.19899219,185.440631,5.1227,4;5;6
3218908,CONFIRMED,1,3,3,Kepler-770 c;Kepler-770 d;Kepler-770 b,train,3,1.475323222;4.15246118;18.92537246,131.83272;134.57991;149.49558,2.3155;2.5755;3.9835,4;5;6
3219995,CONFIRMED,1,1,1,Kepler-1187 b,train,1,18.87058705,143.95639,3.4701,4;5;6
3229150,CONFIRMED,1,1,1,Kepler-1979 b,train,1,18.5084526,131.54555,6.596,4;5;6
3231341,CONFIRMED,1,4,4,Kepler-24 d;Kepler-24 b;Kepler-24 c;Kepler-24 e,train,4,4.24439049;8.14515981;12.33343853;18.9985279,137.06643;140.56811;137.58782;144.74157,3.282;5.073;6.221;4.529,4;5;6
3234598,CONFIRMED,1,2,1,Kepler-383 b;Kepler-383 c,train,1,12.90467523,144.32009,3.28,4;5;6
3234843,CONFIRMED,1,2,2,Kepler-405 b;Kepler-405 c,train,2,10.61368712;29.72722,140.85316;134.6581,3.498;3.45,4;5;6
3240158,CONFIRMED,1,2,2,Kepler-769 b;Kepler-769 c,train,2,7.42608123;15.9868932,139.90039;137.5964,3.6379;4.158,4;5;6
3244792,CONFIRMED,1,1,1,Kepler-1592 b,train,1,3.0570982,134.50122,3.571,4;5;6
3245969,CONFIRMED,1,1,1,Kepler-768 b,train,1,11.39102358,137.70864,2.303,4;5;6
3247268,CONFIRMED,1,2,1,Kepler-418 c;Kepler-418 b,train,1,12.21828097,140.321095,2.6969,4;5;6
3323887,CONFIRMED,1,1,1,Kepler-9 b,train,1,19.270825843,182.5436,4.1281,4;5;6
3326377,CONFIRMED,1,2,1,Kepler-967 b;Kepler-967 c,train,1,13.22714056,142.20251,3.2861,4;5;6
3328080,CONFIRMED,1,1,1,Kepler-1898 b,train,1,4.76559056,133.50531,2.2,4;5;6
3338885,CONFIRMED,1,2,2,Kepler-975 b;Kepler-975 c,train,2,1.970340203;5.05821338,131.948389;135.702454,1.7901;1.132,4;5;6
3342794,CONFIRMED,1,2,2,Kepler-376 b;Kepler-376 c,train,2,4.92031063;14.17222858,135.40577;142.60134,4.046;2.6297,4;5;6
3342970,CONFIRMED,1,2,2,Kepler-234 b;Kepler-234 c,train,2,2.711504086;7.21203748,170.03417;172.81782,3.0099;4.0491,4;5;6
3346154,CONFIRMED,1,1,1,Kepler-1871 b,train,1,1.952711161,133.160986,0.872,4;5;6
3348082,CONFIRMED,1,2,1,Kepler-274 b;Kepler-274 c,train,1,11.63486009,140.50071,5.466,4;5;6
3353050,CONFIRMED,1,1,1,Kepler-541 b,train,1,5.0800579,174.42853,5.207,4;5;6
3354846,CONFIRMED,1,1,1,Kepler-1241 b,train,1,18.5525162,135.51322,4.385,4;5;6
3426367,CONFIRMED,1,1,1,Kepler-1308 b,train,1,2.10433534,133.31612,1.1168,4;5;6
3433668,CONFIRMED,1,1,1,Kepler-1493 b,train,1,15.0219784,143.6989,5.068,4;5;6
3438507,CONFIRMED,1,1,1,Kepler-788 b,train,1,8.39842977,136.31152,6.344,4;5;6
3440118,CONFIRMED,1,1,1,Kepler-1928 b,train,1,19.57783279,131.71421,1.9857,4;5;6
3442055,CONFIRMED,1,1,1,Kepler-795 b,train,1,29.6193891,133.68205,4.9595,4;5;6
3444588,CONFIRMED,1,1,1,Kepler-787 b,train,1,0.928310036,133.80358,1.1899,4;5;6
3446746,CONFIRMED,1,1,1,Kepler-542 b,train,1,13.14496741,174.8467,3.6399,4;5;6
3447722,CONFIRMED,1,3,2,Kepler-275 b;Kepler-275 c;Kepler-275 d,train,2,10.30067919;16.08832318,142.74251;139.49184,4.885;5.731,4;5;6
3458028,CONFIRMED,1,1,1,Kepler-1171 b,train,1,1.442592305,134.07188,2.9698,4;5;6
3531558,CONFIRMED,1,1,1,Kepler-467 b,train,1,24.99324319,138.68167,5.9409,4;5;6
3541946,CONFIRMED,1,3,2,Kepler-198 d;Kepler-198 b;Kepler-198 c,train,2,1.311842968;17.79001678,133.11058;182.43745,1.7876;4.4116,4;5;6
3544595,CONFIRMED,1,1,1,Kepler-93 b,train,1,4.72674037,134.926396,2.9267,4;5;6
3545135,CONFIRMED,1,1,1,Kepler-1689 b,train,1,8.48299282,132.96583,2.505,4;5;6
3554031,CONFIRMED,1,2,2,Kepler-415 b;Kepler-415 c,train,2,4.17634276;8.70798309,352.99674;363.05638,2.335;2.4904,4;5;6
3559935,CONFIRMED,1,1,1,Kepler-576 b,train,1,29.9111886,194.71129,6.6436,4;5;6
3632089,CONFIRMED,1,2,1,Kepler-1464 c;Kepler-1464 b,train,1,5.32784157,133.55005,4.696,4;5;6
3632418,CONFIRMED,1,1,1,Kepler-21 b,train,1,2.785821236,260.83731,3.5599,4;5;6
3641726,CONFIRMED,1,1,1,Kepler-1727 b,train,1,9.02930689,177.20422,3.1449,4;5;6
3642289,CONFIRMED,1,2,2,Kepler-135 b;Kepler-135 c,train,2,6.002548291;11.44865823,171.71419;141.38705,4.1628;4.953,4;5;6
3645438,CONFIRMED,1,2,1,Kepler-1600 c;Kepler-1600 b,train,1,7.298142,137.85674,3.024,4;5;6
3657758,CONFIRMED,1,2,2,Kepler-1065 c;Kepler-1065 b,train,2,2.3702932;3.609313059,133.6801;133.79024,1.666;1.7752,4;5;6
3661886,CONFIRMED,1,2,2,Kepler-377 b;Kepler-377 c,train,2,12.50945798;27.0142622,136.99217;132.52245,3.479;5.385,4;5;6
3662838,CONFIRMED,1,1,1,Kepler-516 b,train,1,24.85466504,173.99971,9.182,4;5;6
3732821,CONFIRMED,1,1,1,Kepler-790 b,train,1,13.73474071,142.32752,2.769,4;5;6
3733628,CONFIRMED,1,1,1,Kepler-543 b,train,1,13.89963233,182.864454,3.5791,4;5;6
3734418,CONFIRMED,1,1,1,Kepler-1164 b,train,1,3.97599629,133.62238,2.2029,4;5;6
3745690,CONFIRMED,1,3,3,Kepler-157 b;Kepler-157 d;Kepler-157 c,train,3,1.732346403;7.0257409;13.54057461,134.53123;133.62713;171.67762,2.2139;2.245;4.4673,4;5;6
3749978,CONFIRMED,1,1,1,Kepler-1183 b,train,1,28.5057217,132.92075,6.324,4;5;6
3762468,CONFIRMED,1,1,1,Kepler-493 b,train,1,3.003879547,134.709874,3.2848,4;5;6
3833007,CONFIRMED,1,1,1,Kepler-555 b,train,1,16.21774917,180.0425,4.9274,4;5;6
3839488,CONFIRMED,1,1,1,Kepler-794 b,train,1,11.13127159,134.36341,4.2372,4;5;6
3847138,CONFIRMED,1,1,1,Kepler-556 b,train,1,11.72291212,177.3196,4.2064,4;5;6
3847907,CONFIRMED,1,1,1,Kepler-497 b,train,1,3.573202801,134.934397,2.88,4;5;6
3848275,CONFIRMED,1,1,1,Kepler-1403 b,train,1,5.19492747,131.62458,3.167,4;5;6
3852655,CONFIRMED,1,1,1,Kepler-1406 b,train,1,11.62904159,132.82099,2.97,4;5;6
3859628,CONFIRMED,1,1,1,Kepler-1740 b,train,1,8.17242644,361.20157,3.902,4;5;6
3861595,CONFIRMED,1,1,1,Kepler-1658 b,train,1,3.849371737,157.526686,2.632,4;5;6
3937519,CONFIRMED,1,2,2,Kepler-495 b;Kepler-495 c,train,2,3.413036353;5.89661966,132.443054;134.03046,2.61366;3.154,4;5;6
3939150,CONFIRMED,1,2,1,Kepler-277 b;Kepler-277 c,train,1,17.32419108,142.09977,8.045,4;5;6
3940418,CONFIRMED,1,1,1,Kepler-1728 b,train,1,4.783002698,170.508434,2.335,4;5;6
3942670,CONFIRMED,1,2,1,Kepler-147 b;Kepler-147 c,train,1,12.6119685,138.1189,6.372,4;5;6
3955817,CONFIRMED,1,1,1,Kepler-1553 b,train,1,4.24263096,135.0304,2.582,4;5;6
3962243,CONFIRMED,1,3,1,Kepler-276 b;Kepler-276 c;Kepler-276 d,train,1,14.12847677,142.8971,3.685,4;5;6
3962357,CONFIRMED,1,1,1,Kepler-791 b,train,1,14.55387488,134.11669,6.973,4;5;6
3964109,CONFIRMED,1,1,1,Kepler-544 b,train,1,21.41624083,176.24991,7.081,4;5;6
3967326,CONFIRMED,1,1,1,Kepler-1792 b,train,1,4.19577385,135.17605,2.1557,4;5;6
3967760,CONFIRMED,1,2,2,Kepler-317 b;Kepler-317 c,train,2,5.52418625;8.77514782,135.62306;133.70319,2.826;3.176,4;5;6
4035640,CONFIRMED,1,1,1,Kepler-995 b,train,1,28.26727385,140.92561,4.5839,4;5;6
4049131,CONFIRMED,1,1,1,Kepler-687 b,train,1,20.50588921,181.43428,4.0595,4;5;6
4061149,CONFIRMED,1,1,1,Kepler-1741 b,train,1,2.757584622,133.05017,0.9267,4;5;6
4067925,CONFIRMED,1,1,1,Kepler-1897 b,train,1,24.2204192,146.42459,3.271,4;5;6
4076098,CONFIRMED,1,1,1,Kepler-817 b,train,1,3.990105908,355.840837,2.4108,4;5;6
4077526,CONFIRMED,1,4,3,Kepler-58 e;Kepler-58 b;Kepler-58 c;Kepler-58 d,train,3,4.45814897;10.21864532;15.573637,134.39743;136.8622;132.44282,2.867;3.802;5.326,4;5;6
4078311,CONFIRMED,1,1,1,Kepler-1944 b,train,1,9.84262076,134.02155,1.6018,4;5;6
4135665,CONFIRMED,1,1,1,Kepler-823 b,train,1,4.16811839,134.89621,2.8084,4;5;6
4136466,CONFIRMED,1,1,1,Kepler-826 b,train,1,4.48758768,133.36092,2.874,4;5;6
4138951,CONFIRMED,1,1,1,Kepler-1373 b,train,1,1.291233083,131.99105,1.855,4;5;6
4139816,CONFIRMED,1,4,3,Kepler-235 b;Kepler-235 c;Kepler-235 d;Kepler-235 e,train,3,3.340218842;7.82502168;20.06036336,171.979062;136.54995;147.46554,1.9104;2.186;3.3203,4;5;6
4140813,CONFIRMED,1,1,1,Kepler-1795 b,train,1,13.36019864,131.81481,2.788,4;5;6
4141376,CONFIRMED,1,1,1,Kepler-1655 b,train,1,11.87290814,180.895933,2.5342,4;5;6
4149450,CONFIRMED,1,1,1,Kepler-1772 b,train,1,3.215109385,133.77747,4.365,4;5;6
4157325,CONFIRMED,1,3,3,Kepler-416 d;Kepler-416 b;Kepler-416 c,train,3,3.07644709;6.31943553;12.20951755,353.7643;132.22892;360.3204,2.6326;3.3422;4.1808,4;5;6
4164922,CONFIRMED,1,1,1,Kepler-1698 b,train,1,1.210693626,132.39306,1.434,4;5;6
4164994,CONFIRMED,1,1,1,Kepler-816 b,train,1,10.50682978,360.082152,3.7769,4;5;6
4173026,CONFIRMED,1,2,1,Kepler-1801 b;Kepler-1801 c,train,1,10.44087398,137.97113,3.743,4;5;6
4175630,CONFIRMED,1,1,1,Kepler-1405 b,train,1,28.227413,141.49504,5.782,4;5;6
4180280,CONFIRMED,1,1,1,Kepler-472 b,train,1,4.176254191,133.090415,3.6716,4;5;6
4242692,CONFIRMED,1,1,1,Kepler-1531 b,train,1,1.138548215,132.46205,2.1482,4;5;6
4243911,CONFIRMED,1,1,1,Kepler-821 b,train,1,1.922799706,134.50174,1.8604,4;5;6
4248120,CONFIRMED,1,1,1,Kepler-1808 b,train,1,23.34036251,136.20727,2.054,4;5;6
4270253,CONFIRMED,1,2,2,Kepler-183 b;Kepler-183 c,train,2,5.68798675;11.6370303,133.95607;178.84448,2.2682;3.3372,4;5;6
4271474,CONFIRMED,1,1,1,Kepler-1469 b,train,1,21.8634638,145.2419,3.542,4;5;6
4275191,CONFIRMED,1,1,1,Kepler-688 b,train,1,3.895936525,170.527552,2.3111,4;5;6
4275721,CONFIRMED,1,2,2,Kepler-825 b;Kepler-825 c,train,2,3.77359871;8.18182189,134.07013;134.81423,2.7282;2.4566,4;5;6
4278221,CONFIRMED,1,1,1,Kepler-908 b,train,1,1.340596782,132.24549,1.6484,4;5;6
4282872,CONFIRMED,1,1,1,Kepler-818 b,train,1,10.035381809,137.471481,3.4062,4;5;6
4346178,CONFIRMED,1,1,1,Kepler-1304 b,train,1,16.1289679,143.75518,6.271,4;5;6
4365645,CONFIRMED,1,1,1,Kepler-1671 b,train,1,4.16787814,135.28334,2.2136,4;5;6
4381429,CONFIRMED,1,1,1,Kepler-1608 b,train,1,16.473474,142.68604,4.201,4;5;6
4454752,CONFIRMED,1,1,1,Kepler-578 b,train,1,1.616883373,169.80396,1.6325,4;5;6
4455231,CONFIRMED,1,3,2,Kepler-288 b;Kepler-288 c;Kepler-288 d,train,2,6.09747233;19.30581662,354.05919;373.18998,3.431;4.2902,4;5;6
4466677,CONFIRMED,1,1,1,Kepler-822 b,train,1,3.222975318,178.0701,2.9247,4;5;6
4476123,CONFIRMED,1,1,1,Kepler-689 b,train,1,22.36646466,175.45862,5.228,4;5;6
4478168,CONFIRMED,1,1,1,Kepler-624 b,train,1,14.58649856,172.22185,4.0249,4;5;6
4483138,CONFIRMED,1,1,1,Kepler-1384 b,train,1,15.3626052,145.5732,3.736,4;5;6
4484336,CONFIRMED,1,1,1,Kepler-1857 b,train,1,8.94337724,137.30234,2.469,4;5;6
4545187,CONFIRMED,1,2,1,Kepler-121 b;Kepler-121 c,train,1,3.177414601,134.478892,1.5262,4;5;6
4548011,CONFIRMED,1,1,1,Kepler-1581 b,train,1,6.28384079,133.20513,4.291,4;5;6
4548098,CONFIRMED,1,1,1,Kepler-1982 b,train,1,3.82315697,133.06936,2.388,4;5;6
4563268,CONFIRMED,1,2,2,Kepler-625 c;Kepler-625 b,train,2,4.16536757;7.75192755,132.04068;176.17197,3.2935;3.5413,4;5;6
4570949,CONFIRMED,1,1,1,Kepler-76 b,train,1,1.544928892,133.5487914,1.43586,4;5;6
4633570,CONFIRMED,1,2,2,Kepler-158 b;Kepler-158 c,train,2,16.70920628;28.55158187,174.75417;185.47672,2.7052;4.1502,4;5;6
4636578,CONFIRMED,1,3,3,Kepler-350 b;Kepler-350 c;Kepler-350 d,train,3,11.1895709;17.84850835;26.1363443,140.63504;148.39117;131.61796,5.3;5.8919;6.613,4;5;6
4644604,CONFIRMED,1,1,1,Kepler-626 b,train,1,14.48584765,175.00624,3.1365,4;5;6
4644952,CONFIRMED,1,3,2,Kepler-319 b;Kepler-319 c;Kepler-319 d,train,2,4.36273233;6.94135824,135.23342;137.5437,2.2375;1.8899,4;5;6
4645174,CONFIRMED,1,1,1,Kepler-1500 b,train,1,15.0330623,131.89493,6.326,4;5;6
4650674,CONFIRMED,1,1,1,Kepler-824 b,train,1,4.51436096,134.0293,3.0083,4;5;6
4650733,CONFIRMED,1,1,1,Kepler-1762 b,train,1,29.5390897,143.91607,4.139,4;5;6
4673628,CONFIRMED,1,1,1,Kepler-1935 b,train,1,3.951383138,132.06462,1.0582,4;5;6
4735826,CONFIRMED,1,1,1,Kepler-1972 b,train,1,7.545922037,134.4902954,4.0329,4;5;6
4736569,CONFIRMED,1,1,1,Kepler-1042 b,train,1,10.13200555,132.91155,3.1683,4;5;6
4736644,CONFIRMED,1,1,1,Kepler-1470 b,train,1,16.2951259,144.80425,3.678,4;5;6
4742414,CONFIRMED,1,1,1,Kepler-628 b,train,1,15.458056682,173.782454,8.79536,4;5;6
4757437,CONFIRMED,1,2,2,Kepler-168 b;Kepler-168 c,train,2,4.42535097;13.19322809,134.56312;175.6096,3.504;5.0036,4;5;6
4770617,CONFIRMED,1,2,2,Kepler-1154 b;Kepler-1154 c,train,2,5.18560081;8.45805119,132.32455;137.06123,4.054;2.998,4;5;6
4814502,CONFIRMED,1,1,1,Kepler-1933 b,train,1,4.94330596,135.57568,2.9334,4;5;6
4827723,CONFIRMED,1,1,1,Kepler-629 b,train,1,7.23858162,171.21912,3.1199,4;5;6
4831728,CONFIRMED,1,1,1,Kepler-1330 b,train,1,10.10773789,135.1032,3.828,4;5;6
4832837,CONFIRMED,1,1,1,Kepler-621 b,train,1,2.628117322,169.718913,1.8289,4;5;6
4833421,CONFIRMED,1,5,3,Kepler-122 b;Kepler-122 c;Kepler-122 d;Kepler-122 e;Kepler-122 f,train,3,5.766165573;12.466004437;21.58752788,134.01725;134.003258;142.96728,3.8314;5.0066;4.4968,4;5;6
4847534,CONFIRMED,1,1,1,Kepler-579 b,train,1,9.66857386,174.53483,2.4656,4;5;6
4850961,CONFIRMED,1,1,1,Kepler-1551 b,train,1,24.4972683,133.92177,5.43,4;5;6
4852528,CONFIRMED,1,5,5,Kepler-80 f;Kepler-80 d;Kepler-80 e;Kepler-80 b;Kepler-80 c,train,5,0.986785834;3.072146607;4.645382149;7.053527145;9.521644639,133.171292;134.030017;134.58939;176.474146;177.484839,1.1879;1.8732;2.0271;2.3982;2.3569,4;5;6
4857058,CONFIRMED,1,1,1,Kepler-1983 b,train,1,7.32851947,132.12857,1.211,4;5;6
4857213,CONFIRMED,1,1,1,Kepler-1680 b,train,1,8.77425786,132.33386,2.2245,4;5;6
4913852,CONFIRMED,1,1,1,Kepler-691 b,train,1,8.11437482,176.33968,2.2736,4;5;6
4914423,CONFIRMED,1,2,1,Kepler-103 b;Kepler-103 c,train,1,15.96532718,142.178033,4.5837,4;5;6
4914566,CONFIRMED,1,1,1,Kepler-1300 b,train,1,22.2420032,144.72364,7.532,4;5;6
4915638,CONFIRMED,1,1,1,Kepler-1291 b,train,1,8.63050092,139.57438,3.144,4;5;6
4917596,CONFIRMED,1,1,1,Kepler-1032 b,train,1,3.290114076,133.15709,1.5151,4;5;6
4932442,CONFIRMED,1,1,1,Kepler-923 b,train,1,6.93365167,137.07375,4.608,4;5;6
4947556,CONFIRMED,1,1,1,Kepler-1930 b,train,1,13.0267964,139.14777,0.785,4;5;6
4989057,CONFIRMED,1,1,1,Kepler-1017 b,train,1,7.23400381,137.67742,2.165,4;5;6
4991208,CONFIRMED,1,1,1,Kepler-1393 b,train,1,2.44358543,132.80194,1.852,4;5;6
5003670,CONFIRMED,1,1,1,Kepler-1962 b,train,1,7.99144696,136.25855,3.639,4;5;6
5007345,CONFIRMED,1,1,1,Kepler-1225 b,train,1,7.01074295,138.4027,2.1787,4;5;6
5022828,CONFIRMED,1,1,1,Kepler-1115 b,train,1,23.5541012,144.21486,7.3,4;5;6
5031857,CONFIRMED,1,1,1,Kepler-1755 b,train,1,24.81097206,156.506971,3.2245,4;5;6
5036705,CONFIRMED,1,1,1,Kepler-1238 b,train,1,4.14789051,135.53291,3.829,4;5;6
5042210,CONFIRMED,1,1,1,Kepler-1838 b,train,1,12.14684625,131.55623,6.197,4;5;6
5080636,CONFIRMED,1,1,1,Kepler-974 b,train,1,4.194496867,134.13511,1.7807,4;5;6
5084942,CONFIRMED,1,1,1,Kepler-475 b,train,1,3.105507835,133.210427,1.7458,4;5;6
5088400,CONFIRMED,1,1,1,Kepler-1556 b,train,1,8.82715783,139.73416,2.019,4;5;6
5088536,CONFIRMED,1,3,2,Kepler-130 b;Kepler-130 c;Kepler-130 d,train,2,8.45744892;27.50871575,139.06689;182.103494,3.2893;5.9291,4;5;6
5088591,CONFIRMED,1,1,1,Kepler-955 b,train,1,14.5324483,140.72407,3.13,4;5;6
5094751,CONFIRMED,1,2,2,Kepler-109 b;Kepler-109 c,train,2,6.481633073;21.22261195,122.977657;137.57403,3.784;6.5093,4;5;6
5095082,CONFIRMED,1,1,1,Kepler-1951 b,train,1,20.6579443,145.6348,8.798,4;5;6
5106313,CONFIRMED,1,1,1,Kepler-1694 b,train,1,3.89524296,131.85929,1.689,4;5;6
5120087,CONFIRMED,1,1,1,Kepler-631 b,train,1,17.97979816,182.24179,5.5828,4;5;6
5164255,CONFIRMED,1,1,1,Kepler-693 b,train,1,15.37562369,173.61402,3.3169,4;5;6
5174858,CONFIRMED,1,1,1,Kepler-1852 b,train,1,7.9709719,134.0507,1.2893,4;5;6
5175024,CONFIRMED,1,1,1,Kepler-1279 b,train,1,23.4772553,145.3641,6.735,4;5;6
5175986,CONFIRMED,1,1,1,Kepler-1320 b,train,1,0.868386354,132.06741,1.066,4;5;6
5185897,CONFIRMED,1,3,3,Kepler-398 b;Kepler-398 d;Kepler-398 c,train,3,4.081411554;6.83440674;11.41941928,133.85992;136.86023;142.11859,2.3239;2.2726;3.3075,4;5;6
5195172,CONFIRMED,1,1,1,Kepler-1763 b,train,1,1.480283464,134.37254,2.486,4;5;6
5209845,CONFIRMED,1,1,1,Kepler-1378 b,train,1,11.95401876,140.26226,2.656,4;5;6
5213404,CONFIRMED,1,1,1,Kepler-1508 b,train,1,20.7057153,139.9803,9.678,4;5;6
5219234,CONFIRMED,1,4,4,Kepler-305 e;Kepler-305 b;Kepler-305 c;Kepler-305 d,train,4,3.20539622;5.48711441;8.29084167;16.73869035,354.63069;356.0773;359.63666;359.41655,2.143;2.93;3.613;2.398,4;5;6
5252423,CONFIRMED,1,2,2,Kepler-237 b;Kepler-237 c,train,2,4.71510843;8.10363271,134.96178;176.9486,2.506;3.161,4;5;6
5272233,CONFIRMED,1,2,2,Kepler-400 b;Kepler-400 c,train,2,9.02436414;17.3408735,133.54199;138.96694,3.011;3.398,4;5;6
5272878,CONFIRMED,1,1,1,Kepler-694 b,train,1,6.365839713,171.13575,2.9721,4;5;6
5281113,CONFIRMED,1,1,1,Kepler-1602 b,train,1,11.17931581,131.64123,3.103,4;5;6
5289854,CONFIRMED,1,2,2,Kepler-308 b;Kepler-308 c,train,2,9.69501146;15.3825394,182.45413;139.07648,2.75;3.815,4;5;6
5299459,CONFIRMED,1,2,2,Kepler-307 b;Kepler-307 c,train,2,10.41572666;13.08424286,143.04774;132.63129,2.7719;3.0401,4;5;6
5301750,CONFIRMED,1,5,4,Kepler-84 d;Kepler-84 b;Kepler-84 c;Kepler-84 e;Kepler-84 f,train,4,4.22453631;8.72585478;12.88291395;27.4345973,135.42908;138.76838;135.18736;145.12322,3.128;4.473;5.676;5.038,4;5;6
5340644,CONFIRMED,1,1,1,Kepler-580 b,train,1,8.22241355,172.95657,2.71,4;5;6
5342473,CONFIRMED,1,1,1,Kepler-1818 b,train,1,4.64495172,136.02095,3.366,4;5;6
5350244,CONFIRMED,1,1,1,Kepler-1276 b,train,1,12.5722897,143.0663,4.765,4;5;6
5351250,CONFIRMED,1,4,3,Kepler-150 b;Kepler-150 c;Kepler-150 d;Kepler-150 e,train,3,3.42806306;7.381980206;12.56096618,132.36268;173.072659;166.79483,2.417;3.1152;3.7647,4;5;6
5357545,CONFIRMED,1,1,1,Kepler-1809 b,train,1,3.757294695,133.95965,0.9269,4;5;6
