kepid,label,has_confirmed_planet,confirmed_planet_count,detectable_planet_count,confirmed_planet_names,split,signal_count,periods_days,epochs_bkjd,durations_hours,quarters
3649649,CONTROL,0,0,0,,test,0,,,,4;5;6
3650921,CONTROL,0,0,0,,test,0,,,,4;5;6
3660527,CONTROL,0,0,0,,test,0,,,,4;5;6
3662552,CONTROL,0,0,0,,test,0,,,,4;5;6
3743834,CONTROL,0,0,0,,test,0,,,,4;5;6
3750393,CONTROL,0,0,0,,test,0,,,,4;5;6
3762434,CONTROL,0,0,0,,test,0,,,,4;5;6
3854607,CONTROL,0,0,0,,test,0,,,,4;5;6
3857900,CONTROL,0,0,0,,test,0,,,,4;5;6
3935653,CONTROL,0,0,0,,test,0,,,,4;5;6
3940884,CONTROL,0,0,0,,test,0,,,,4;5;6
3967678,CONTROL,0,0,0,,test,0,,,,4;5;6
3970223,CONTROL,0,0,0,,test,0,,,,4;5;6
4035207,CONTROL,0,0,0,,test,0,,,,4;5;6
4049544,CONTROL,0,0,0,,test,0,,,,4;5;6
4055387,CONTROL,0,0,0,,test,0,,,,4;5;6
4055787,CONTROL,0,0,0,,test,0,,,,4;5;6
4066422,CONTROL,0,0,0,,test,0,,,,4;5;6
4073543,CONTROL,0,0,0,,test,0,,,,4;5;6
4073914,CONTROL,0,0,0,,test,0,,,,4;5;6
4075223,CONTROL,0,0,0,,test,0,,,,4;5;6
4165739,CONTROL,0,0,0,,test,0,,,,4;5;6
4169257,CONTROL,0,0,0,,test,0,,,,4;5;6
4170868,CONTROL,0,0,0,,test,0,,,,4;5;6
4241503,CONTROL,0,0,0,,test,0,,,,4;5;6
4263929,CONTROL,0,0,0,,test,0,,,,4;5;6
4279080,CONTROL,0,0,0,,test,0,,,,4;5;6
4284937,CONTROL,0,0,0,,test,0,,,,4;5;6
4347369,CONTROL,0,0,0,,test,0,,,,4;5;6
4365609,CONTROL,0,0,0,,test,0,,,,4;5;6
4378778,CONTROL,0,0,0,,test,0,,,,4;5;6
4470930,CONTROL,0,0,0,,test,0,,,,4;5;6
4472375,CONTROL,0,0,0,,test,0,,,,4;5;6
4546541,CONTROL,0,0,0,,test,0,,,,4;5;6
4553079,CONTROL,0,0,0,,test,0,,,,4;5;6
4562532,CONTROL,0,0,0,,test,0,,,,4;5;6
4566086,CONTROL,0,0,0,,test,0,,,,4;5;6
4574338,CONTROL,0,0,0,,test,0,,,,4;5;6
4581434,CONTROL,0,0,0,,test,0,,,,4;5;6
4662585,CONTROL,0,0,0,,test,0,,,,4;5;6
4672743,CONTROL,0,0,0,,test,0,,,,4;5;6
4679110,CONTROL,0,0,0,,test,0,,,,4;5;6
4742425,CONTROL,0,0,0,,test,0,,,,4;5;6
4755907,CONTROL,0,0,0,,test,0,,,,4;5;6
4757012,CONTROL,0,0,0,,test,0,,,,4;5;6
4761172,CONTROL,0,0,0,,test,0,,,,4;5;6
4814629,CONTROL,0,0,0,,test,0,,,,4;5;6
4830861,CONTROL,0,0,0,,test,0,,,,4;5;6
4862558,CONTROL,0,0,0,,test,0,,,,4;5;6
4916718,CONTROL,0,0,0,,test,0,,,,4;5;6
4928898,CONTROL,0,0,0,,test,0,,,,4;5;6
4933206,CONTROL,0,0,0,,test,0,,,,4;5;6
5041192,CONTROL,0,0,0,,test,0,,,,4;5;6
5078391,CONTROL,0,0,0,,test,0,,,,4;5;6
5087860,CONTROL,0,0,0,,test,0,,,,4;5;6
5095098,CONTROL,0,0,0,,test,0,,,,4;5;6
5104125,CONTROL,0,0,0,,test,0,,,,4;5;6
5109872,CONTROL,0,0,0,,test,0,,,,4;5;6
5127947,CONTROL,0,0,0,,test,0,,,,4;5;6
5183031,CONTROL,0,0,0,,test,0,,,,4;5;6
5186318,CONTROL,0,0,0,,test,0,,,,4;5;6
5196838,CONTROL,0,0,0,,test,0,,,,4;5;6
5202452,CONTROL,0,0,0,,test,0,,,,4;5;6
5217984,CONTROL,0,0,0,,test,0,,,,4;5;6
5270719,CONTROL,0,0,0,,test,0,,,,4;5;6
5281201,CONTROL,0,0,0,,test,0,,,,4;5;6
5288607,CONTROL,0,0,0,,test,0,,,,4;5;6
5350200,CONTROL,0,0,0,,test,0,,,,4;5;6
5357262,CONTROL,0,0,0,,test,0,,,,4;5;6
5387225,CONTROL,0,0,0,,test,0,,,,4;5;6
5388853,CONTROL,0,0,0,,test,0,,,,4;5;6
5437905,CONTROL,0,0,0,,test,0,,,,4;5;6
5450127,CONTROL,0,0,0,,test,0,,,,4;5;6
5450347,CONTROL,0,0,0,,test,0,,,,4;5;6
5475309,CONTROL,0,0,0,,test,0,,,,4;5;6
5513956,CONTROL,0,0,0,,test,0,,,,4;5;6
5524660,CONTROL,0,0,0,,test,0,,,,4;5;6
5530974,CONTROL,0,0,0,,test,0,,,,4;5;6
5550495,CONTROL,0,0,0,,test,0,,,,4;5;6
5554141,CONTROL,0,0,0,,test,0,,,,4;5;6
5554197,CONTROL,0,0,0,,test,0,,,,4;5;6
5557392,CONTROL,0,0,0,,test,0,,,,4;5;6
5559104,CONTROL,0,0,0,,test,0,,,,4;5;6
5602891,CONTROL,0,0,0,,test,0,,,,4;5;6
5603605,CONTROL,0,0,0,,test,0,,,,4;5;6
5647701,CONTROL,0,0,0,,test,0,,,,4;5;6
5650964,CONTROL,0,0,0,,test,0,,,,4;5;6
5688791,CONTROL,0,0,0,,test,0,,,,4;5;6
5707157,CONTROL,0,0,0,,test,0,,,,4;5;6
5707412,CONTROL,0,0,0,,test,0,,,,4;5;6
5775302,CONTROL,0,0,0,,test,0,,,,4;5;6
5779626,CONTROL,0,0,0,,test,0,,,,4;5;6
5792146,CONTROL,0,0,0,,test,0,,,,4;5;6
5802605,CONTROL,0,0,0,,test,0,,,,4;5;6
5814117,CONTROL,0,0,0,,test,0,,,,4;5;6
5817578,CONTROL,0,0,0,,test,0,,,,4;5;6
5870827,CONTROL,0,0,0,,test,0,,,,4;5;6
5878783,CONTROL,0,0,0,,test,0,,,,4;5;6
5939212,CONTROL,0,0,0,,test,0,,,,4;5;6
5949986,CONTROL,0,0,0,,test,0,,,,4;5;6
5960889,CONTROL,0,0,0,,test,0,,,,4;5;6
5961696,CONTROL,0,0,0,,test,0,,,,4;5;6
6057293,CONTROL,0,0,0,,test,0,,,,4;5;6
6073090,CONTROL,0,0,0,,test,0,,,,4;5;6
6104158,CONTROL,0,0,0,,test,0,,,,4;5;6
6129657,CONTROL,0,0,0,,test,0,,,,4;5;6
6141215,CONTROL,0,0,0,,test,0,,,,4;5;6
6185083,CONTROL,0,0,0,,test,0,,,,4;5;6
6211757,CONTROL,0,0,0,,test,0,,,,4;5;6
6212391,CONTROL,0,0,0,,test,0,,,,4;5;6
6303052,CONTROL,0,0,0,,test,0,,,,4;5;6
6305367,CONTROL,0,0,0,,test,0,,,,4;5;6
6312503,CONTROL,0,0,0,,test,0,,,,4;5;6
6314177,CONTROL,0,0,0,,test,0,,,,4;5;6
6356088,CONTROL,0,0,0,,test,0,,,,4;5;6
6369520,CONTROL,0,0,0,,test,0,,,,4;5;6
6423911,CONTROL,0,0,0,,test,0,,,,4;5;6
6430699,CONTROL,0,0,0,,test,0,,,,4;5;6
6446681,CONTROL,0,0,0,,test,0,,,,4;5;6
6507302,CONTROL,0,0,0,,test,0,,,,4;5;6
6534993,CONTROL,0,0,0,,test,0,,,,4;5;6
6544490,CONTROL,0,0,0,,test,0,,,,4;5;6
6551250,CONTROL,0,0,0,,test,0,,,,4;5;6
6584502,CONTROL,0,0,0,,test,0,,,,4;5;6
6612232,CONTROL,0,0,0,,test,0,,,,4;5;6
6689065,CONTROL,0,0,0,,test,0,,,,4;5;6
6696362,CONTROL,0,0,0,,test,0,,,,4;5;6
6705706,CONTROL,0,0,0,,test,0,,,,4;5;6
6719411,CONTROL,0,0,0,,test,0,,,,4;5;6
6765146,CONTROL,0,0,0,,test,0,,,,4;5;6
6767829,CONTROL,0,0,0,,test,0,,,,4;5;6
6779491,CONTROL,0,0,0,,test,0,,,,4;5;6
6785089,CONTROL,0,0,0,,test,0,,,,4;5;6
6785683,CONTROL,0,0,0,,test,0,,,,4;5;6
6849767,CONTROL,0,0,0,,test,0,,,,4;5;6
6852895,CONTROL,0,0,0,,test,0,,,,4;5;6
6870946,CONTROL,0,0,0,,test,0,,,,4;5;6
6876635,CONTROL,0,0,0,,test,0,,,,4;5;6
6929160,CONTROL,0,0,0,,test,0,,,,4;5;6
6966135,CONTROL,0,0,0,,test,0,,,,4;5;6
7007558,CONTROL,0,0,0,,test,0,,,,4;5;6
7053250,CONTROL,0,0,0,,test,0,,,,4;5;6
7106918,CONTROL,0,0,0,,test,0,,,,4;5;6
7107807,CONTROL,0,0,0,,test,0,,,,4;5;6
7174813,CONTROL,0,0,0,,test,0,,,,4;5;6
7177420,CONTROL,0,0,0,,test,0,,,,4;5;6
7188323,CONTROL,0,0,0,,test,0,,,,4;5;6
7189610,CONTROL,0,0,0,,test,0,,,,4;5;6
7189801,CONTROL,0,0,0,,test,0,,,,4;5;6
7205861,CONTROL,0,0,0,,test,0,,,,4;5;6
7207319,CONTROL,0,0,0,,test,0,,,,4;5;6
7212639,CONTROL,0,0,0,,test,0,,,,4;5;6
7257979,CONTROL,0,0,0,,test,0,,,,4;5;6
7267928,CONTROL,0,0,0,,test,0,,,,4;5;6
7284787,CONTROL,0,0,0,,test,0,,,,4;5;6
7286004,CONTROL,0,0,0,,test,0,,,,4;5;6
7289465,CONTROL,0,0,0,,test,0,,,,4;5;6
7337072,CONTROL,0,0,0,,test,0,,,,4;5;6
7341060,CONTROL,0,0,0,,test,0,,,,4;5;6
7347954,CONTROL,0,0,0,,test,0,,,,4;5;6
7348982,CONTROL,0,0,0,,test,0,,,,4;5;6
7350707,CONTROL,0,0,0,,test,0,,,,4;5;6
7416801,CONTROL,0,0,0,,test,0,,,,4;5;6
7429448,CONTROL,0,0,0,,test,0,,,,4;5;6
7448760,CONTROL,0,0,0,,test,0,,,,4;5;6
7515023,CONTROL,0,0,0,,test,0,,,,4;5;6
7519122,CONTROL,0,0,0,,test,0,,,,4;5;6
7523299,CONTROL,0,0,0,,test,0,,,,4;5;6
7546429,CONTROL,0,0,0,,test,0,,,,4;5;6
7617832,CONTROL,0,0,0,,test,0,,,,4;5;6
7622796,CONTROL,0,0,0,,test,0,,,,4;5;6
7622847,CONTROL,0,0,0,,test,0,,,,4;5;6
7629101,CONTROL,0,0,0,,test,0,,,,4;5;6
7629944,CONTROL,0,0,0,,test,0,,,,4;5;6
7671776,CONTROL,0,0,0,,test,0,,,,4;5;6
7708292,CONTROL,0,0,0,,test,0,,,,4;5;6
7751876,CONTROL,0,0,0,,test,0,,,,4;5;6
7779339,CONTROL,0,0,0,,test,0,,,,4;5;6
7826536,CONTROL,0,0,0,,test,0,,,,4;5;6
7840132,CONTROL,0,0,0,,test,0,,,,4;5;6
7869198,CONTROL,0,0,0,,test,0,,,,4;5;6
7870112,CONTROL,0,0,0,,test,0,,,,4;5;6
7880963,CONTROL,0,0,0,,test,0,,,,4;5;6
7895206,CONTROL,0,0,0,,test,0,,,,4;5;6
7899796,CONTROL,0,0,0,,test,0,,,,4;5;6
7900767,CONTROL,0,0,0,,test,0,,,,4;5;6
7904470,CONTROL,0,0,0,,test,0,,,,4;5;6
7906607,CONTROL,0,0,0,,test,0,,,,4;5;6
7914624,CONTROL,0,0,0,,test,0,,,,4;5;6
7915020,CONTROL,0,0,0,,test,0,,,,4;5;6
7938403,CONTROL,0,0,0,,test,0,,,,4;5;6
7967985,CONTROL,0,0,0,,test,0,,,,4;5;6
7971008,CONTROL,0,0,0,,test,0,,,,4;5;6
7976305,CONTROL,0,0,0,,test,0,,,,4;5;6
8008374,CONTROL,0,0,0,,test,0,,,,4;5;6
8017961,CONTROL,0,0,0,,test,0,,,,4;5;6
8026771,CONTROL,0,0,0,,test,0,,,,4;5;6
8027872,CONTROL,0,0,0,,test,0,,,,4;5;6
8028158,CONTROL,0,0,0,,test,0,,,,4;5;6
8040428,CONTROL,0,0,0,,test,0,,,,4;5;6
8051985,CONTROL,0,0,0,,test,0,,,,4;5;6
8105884,CONTROL,0,0,0,,test,0,,,,4;5;6
8113359,CONTROL,0,0,0,,test,0,,,,4;5;6
8142304,CONTROL,0,0,0,,test,0,,,,4;5;6
8161562,CONTROL,0,0,0,,test,0,,,,4;5;6
8162117,CONTROL,0,0,0,,test,0,,,,4;5;6
8174183,CONTROL,0,0,0,,test,0,,,,4;5;6
8174193,CONTROL,0,0,0,,test,0,,,,4;5;6
8179150,CONTROL,0,0,0,,test,0,,,,4;5;6
8189504,CONTROL,0,0,0,,test,0,,,,4;5;6
8193511,CONTROL,0,0,0,,test,0,,,,4;5;6
8212884,CONTROL,0,0,0,,test,0,,,,4;5;6
8223463,CONTROL,0,0,0,,test,0,,,,4;5;6
8241424,CONTROL,0,0,0,,test,0,,,,4;5;6
8246695,CONTROL,0,0,0,,test,0,,,,4;5;6
8248894,CONTROL,0,0,0,,test,0,,,,4;5;6
8264804,CONTROL,0,0,0,,test,0,,,,4;5;6
8264850,CONTROL,0,0,0,,test,0,,,,4;5;6
8285635,CONTROL,0,0,0,,test,0,,,,4;5;6
8295644,CONTROL,0,0,0,,test,0,,,,4;5;6
8299808,CONTROL,0,0,0,,test,0,,,,4;5;6
8312493,CONTROL,0,0,0,,test,0,,,,4;5;6
8346638,CONTROL,0,0,0,,test,0,,,,4;5;6
8376290,CONTROL,0,0,0,,test,0,,,,4;5;6
8451941,CONTROL,0,0,0,,test,0,,,,4;5;6
8492542,CONTROL,0,0,0,,test,0,,,,4;5;6
8494812,CONTROL,0,0,0,,test,0,,,,4;5;6
8553191,CONTROL,0,0,0,,test,0,,,,4;5;6
8556222,CONTROL,0,0,0,,test,0,,,,4;5;6
8587777,CONTROL,0,0,0,,test,0,,,,4;5;6
8588056,CONTROL,0,0,0,,test,0,,,,4;5;6
8630185,CONTROL,0,0,0,,test,0,,,,4;5;6
8631294,CONTROL,0,0,0,,test,0,,,,4;5;6
8637164,CONTROL,0,0,0,,test,0,,,,4;5;6
8639888,CONTROL,0,0,0,,test,0,,,,4;5;6
8672783,CONTROL,0,0,0,,test,0,,,,4;5;6
8681969,CONTROL,0,0,0,,test,0,,,,4;5;6
8692930,CONTROL,0,0,0,,test,0,,,,4;5;6
8736331,CONTROL,0,0,0,,test,0,,,,4;5;6
8741487,CONTROL,0,0,0,,test,0,,,,4;5;6
8748295,CONTROL,0,0,0,,test,0,,,,4;5;6
8801269,CONTROL,0,0,0,,test,0,,,,4;5;6
8847885,CONTROL,0,0,0,,test,0,,,,4;5;6
8946262,CONTROL,0,0,0,,test,0,,,,4;5;6
8947323,CONTROL,0,0,0,,test,0,,,,4;5;6
8960818,CONTROL,0,0,0,,test,0,,,,4;5;6
8962694,CONTROL,0,0,0,,test,0,,,,4;5;6
9004448,CONTROL,0,0,0,,test,0,,,,4;5;6
9008353,CONTROL,0,0,0,,test,0,,,,4;5;6
9141116,CONTROL,0,0,0,,test,0,,,,4;5;6
9142156,CONTROL,0,0,0,,test,0,,,,4;5;6
9156636,CONTROL,0,0,0,,test,0,,,,4;5;6
9207328,CONTROL,0,0,0,,test,0,,,,4;5;6
9219997,CONTROL,0,0,0,,test,0,,,,4;5;6
9242780,CONTROL,0,0,0,,test,0,,,,4;5;6
9268922,CONTROL,0,0,0,,test,0,,,,4;5;6
9271989,CONTROL,0,0,0,,test,0,,,,4;5;6
9278250,CONTROL,0,0,0,,test,0,,,,4;5;6
9305114,CONTROL,0,0,0,,test,0,,,,4;5;6
9307823,CONTROL,0,0,0,,test,0,,,,4;5;6
9330194,CONTROL,0,0,0,,test,0,,,,4;5;6
9335678,CONTROL,0,0,0,,test,0,,,,4;5;6
9339612,CONTROL,0,0,0,,test,0,,,,4;5;6
9347477,CONTROL,0,0,0,,test,0,,,,4;5;6
9388752,CONTROL,0,0,0,,test,0,,,,4;5;6
9392000,CONTROL,0,0,0,,test,0,,,,4;5;6
9409414,CONTROL,0,0,0,,test,0,,,,4;5;6
9412429,CONTROL,0,0,0,,test,0,,,,4;5;6
9418004,CONTROL,0,0,0,,test,0,,,,4;5;6
9428790,CONTROL,0,0,0,,test,0,,,,4;5;6
9456489,CONTROL,0,0,0,,test,0,,,,4;5;6
9471315,CONTROL,0,0,0,,test,0,,,,4;5;6
9491409,CONTROL,0,0,0,,test,0,,,,4;5;6
9531115,CONTROL,0,0,0,,test,0,,,,4;5;6
9532792,CONTROL,0,0,0,,test,0,,,,4;5;6
9532798,CONTROL,0,0,0,,test,0,,,,4;5;6
9550005,CONTROL,0,0,0,,test,0,,,,4;5;6
9569557,CONTROL,0,0,0,,test,0,,,,4;5;6
9583496,CONTROL,0,0,0,,test,0,,,,4;5;6
9631235,CONTROL,0,0,0,,test,0,,,,4;5;6
9649809,CONTROL,0,0,0,,test,0,,,,4;5;6
9655280,CONTROL,0,0,0,,test,0,,,,4;5;6
9655432,CONTROL,0,0,0,,test,0,,,,4;5;6
9655543,CONTROL,0,0,0,,test,0,,,,4;5;6
9664653,CONTROL,0,0,0,,test,0,,,,4;5;6
9713011,CONTROL,0,0,0,,test,0,,,,4;5;6
9717425,CONTROL,0,0,0,,test,0,,,,4;5;6
9725295,CONTROL,0,0,0,,test,0,,,,4;5;6
9725680,CONTROL,0,0,0,,test,0,,,,4;5;6
9752375,CONTROL,0,0,0,,test,0,,,,4;5;6
9775955,CONTROL,0,0,0,,test,0,,,,4;5;6
9778123,CONTROL,0,0,0,,test,0,,,,4;5;6
9783102,CONTROL,0,0,0,,test,0,,,,4;5;6
9787747,CONTROL,0,0,0,,test,0,,,,4;5;6
9820618,CONTROL,0,0,0,,test,0,,,,4;5;6
9825180,CONTROL,0,0,0,,test,0,,,,4;5;6
9827743,CONTROL,0,0,0,,test,0,,,,4;5;6
9837091,CONTROL,0,0,0,,test,0,,,,4;5;6
9845044,CONTROL,0,0,0,,test,0,,,,4;5;6
9905363,CONTROL,0,0,0,,test,0,,,,4;5;6
9942658,CONTROL,0,0,0,,test,0,,,,4;5;6
9946020,CONTROL,0,0,0,,test,0,,,,4;5;6
9946067,CONTROL,0,0,0,,test,0,,,,4;5;6
9955921,CONTROL,0,0,0,,test,0,,,,4;5;6
9957055,CONTROL,0,0,0,,test,0,,,,4;5;6
9960005,CONTROL,0,0,0,,test,0,,,,4;5;6
9999784,CONTROL,0,0,0,,test,0,,,,4;5;6
10067001,CONTROL,0,0,0,,test,0,,,,4;5;6
10071264,CONTROL,0,0,0,,test,0,,,,4;5;6
10080157,CONTROL,0,0,0,,test,0,,,,4;5;6
10083675,CONTROL,0,0,0,,test,0,,,,4;5;6
10096864,CONTROL,0,0,0,,test,0,,,,4;5;6
10098539,CONTROL,0,0,0,,test,0,,,,4;5;6
10136854,CONTROL,0,0,0,,test,0,,,,4;5;6
10141106,CONTROL,0,0,0,,test,0,,,,4;5;6
10145965,CONTROL,0,0,0,,test,0,,,,4;5;6
10155322,CONTROL,0,0,0,,test,0,,,,4;5;6
10219431,CONTROL,0,0,0,,test,0,,,,4;5;6
10252616,CONTROL,0,0,0,,test,0,,,,4;5;6
10258126,CONTROL,0,0,0,,test,0,,,,4;5;6
10273467,CONTROL,0,0,0,,test,0,,,,4;5;6
10287354,CONTROL,0,0,0,,test,0,,,,4;5;6
10290612,CONTROL,0,0,0,,test,0,,,,4;5;6
10320103,CONTROL,0,0,0,,test,0,,,,4;5;6
10346926,CONTROL,0,0,0,,test,0,,,,4;5;6
10350968,CONTROL,0,0,0,,test,0,,,,4;5;6
10397646,CONTROL,0,0,0,,test,0,,,,4;5;6
10402884,CONTROL,0,0,0,,test,0,,,,4;5;6
10405369,CONTROL,0,0,0,,test,0,,,,4;5;6
10414935,CONTROL,0,0,0,,test,0,,,,4;5;6
10450561,CONTROL,0,0,0,,test,0,,,,4;5;6
10460894,CONTROL,0,0,0,,test,0,,,,4;5;6
10463476,CONTROL,0,0,0,,test,0,,,,4;5;6
10464501,CONTROL,0,0,0,,test,0,,,,4;5;6
10472467,CONTROL,0,0,0,,test,0,,,,4;5;6
10480715,CONTROL,0,0,0,,test,0,,,,4;5;6
10534056,CONTROL,0,0,0,,test,0,,,,4;5;6
10534398,CONTROL,0,0,0,,test,0,,,,4;5;6
10579993,CONTROL,0,0,0,,test,0,,,,4;5;6
10586110,CONTROL,0,0,0,,test,0,,,,4;5;6
10611229,CONTROL,0,0,0,,test,0,,,,4;5;6
10612451,CONTROL,0,0,0,,test,0,,,,4;5;6
10717866,CONTROL,0,0,0,,test,0,,,,4;5;6
10723473,CONTROL,0,0,0,,test,0,,,,4;5;6
10736779,CONTROL,0,0,0,,test,0,,,,4;5;6
10777410,CONTROL,0,0,0,,test,0,,,,4;5;6
10782640,CONTROL,0,0,0,,test,0,,,,4;5;6
10814170,CONTROL,0,0,0,,test,0,,,,4;5;6
10874557,CONTROL,0,0,0,,test,0,,,,4;5;6
10936814,CONTROL,0,0,0,,test,0,,,,4;5;6
10964814,CONTROL,0,0,0,,test,0,,,,4;5;6
10982413,CONTROL,0,0,0,,test,0,,,,4;5;6
10990223,CONTROL,0,0,0,,test,0,,,,4;5;6
11014791,CONTROL,0,0,0,,test,0,,,,4;5;6
11025640,CONTROL,0,0,0,,test,0,,,,4;5;6
11028080,CONTROL,0,0,0,,test,0,,,,4;5;6
11032944,CONTROL,0,0,0,,test,0,,,,4;5;6
11036749,CONTROL,0,0,0,,test,0,,,,4;5;6
11068944,CONTROL,0,0,0,,test,0,,,,4;5;6
11076477,CONTROL,0,0,0,,test,0,,,,4;5;6
11082056,CONTROL,0,0,0,,test,0,,,,4;5;6
11134473,CONTROL,0,0,0,,test,0,,,,4;5;6
11196514,CONTROL,0,0,0,,test,0,,,,4;5;6
11198578,CONTROL,0,0,0,,test,0,,,,4;5;6
11234101,CONTROL,0,0,0,,test,0,,,,4;5;6
11234835,CONTROL,0,0,0,,test,0,,,,4;5;6
11235079,CONTROL,0,0,0,,test,0,,,,4;5;6
11243050,CONTROL,0,0,0,,test,0,,,,4;5;6
11260279,CONTROL,0,0,0,,test,0,,,,4;5;6
11287114,CONTROL,0,0,0,,test,0,,,,4;5;6
11309209,CONTROL,0,0,0,,test,0,,,,4;5;6
11337859,CONTROL,0,0,0,,test,0,,,,4;5;6
11340104,CONTROL,0,0,0,,test,0,,,,4;5;6
11342457,CONTROL,0,0,0,,test,0,,,,4;5;6
11390297,CONTROL,0,0,0,,test,0,,,,4;5;6
11442381,CONTROL,0,0,0,,test,0,,,,4;5;6
11442831,CONTROL,0,0,0,,test,0,,,,4;5;6
11443763,CONTROL,0,0,0,,test,0,,,,4;5;6
11448287,CONTROL,0,0,0,,test,0,,,,4;5;6
11453937,CONTROL,0,0,0,,test,0,,,,4;5;6
11460921,CONTROL,0,0,0,,test,0,,,,4;5;6
11462151,CONTROL,0,0,0,,test,0,,,,4;5;6
11495966,CONTROL,0,0,0,,test,0,,,,4;5;6
11496597,CONTROL,0,0,0,,test,0,,,,4;5;6
11512045,CONTROL,0,0,0,,test,0,,,,4;5;6
11610389,CONTROL,0,0,0,,test,0,,,,4;5;6
11619768,CONTROL,0,0,0,,test,0,,,,4;5;6
11671162,CONTROL,0,0,0,,test,0,,,,4;5;6
11672254,CONTROL,0,0,0,,test,0,,,,4;5;6
11700149,CONTROL,0,0,0,,test,0,,,,4;5;6
11702321,CONTROL,0,0,0,,test,0,,,,4;5;6
11770410,CONTROL,0,0,0,,test,0,,,,4;5;6
11773467,CONTROL,0,0,0,,test,0,,,,4;5;6
11802481,CONTROL,0,0,0,,test,0,,,,4;5;6
11803911,CONTROL,0,0,0,,test,0,,,,4;5;6
11805217,CONTROL,0,0,0,,test,0,,,,4;5;6
11820528,CONTROL,0,0,0,,test,0,,,,4;5;6
11821923,CONTROL,0,0,0,,test,0,,,,4;5;6
11824540,CONTROL,0,0,0,,test,0,,,,4;5;6
11825010,CONTROL,0,0,0,,test,0,,,,4;5;6
11876010,CONTROL,0,0,0,,test,0,,,,4;5;6
11903627,CONTROL,0,0,0,,test,0,,,,4;5;6
11954424,CONTROL,0,0,0,,test,0,,,,4;5;6
11954841,CONTROL,0,0,0,,test,0,,,,4;5;6
11967587,CONTROL,0,0,0,,test,0,,,,4;5;6
12010827,CONTROL,0,0,0,,test,0,,,,4;5;6
12018798,CONTROL,0,0,0,,test,0,,,,4;5;6
12022772,CONTROL,0,0,0,,test,0,,,,4;5;6
12055127,CONTROL,0,0,0,,test,0,,,,4;5;6
12060281,CONTROL,0,0,0,,test,0,,,,4;5;6
12101990,CONTROL,0,0,0,,test,0,,,,4;5;6
12156378,CONTROL,0,0,0,,test,0,,,,4;5;6
12207988,CONTROL,0,0,0,,test,0,,,,4;5;6
12252486,CONTROL,0,0,0,,test,0,,,,4;5;6
12304173,CONTROL,0,0,0,,test,0,,,,4;5;6
12305237,CONTROL,0,0,0,,test,0,,,,4;5;6
12406297,CONTROL,0,0,0,,test,0,,,,4;5;6
12470827,CONTROL,0,0,0,,test,0,,,,4;5;6
12600068,CONTROL,0,0,0,,test,0,,,,4;5;6
2987027,CONFIRMED,1,1,1,Kepler-489 b,train,1,17.276296682,133.839172,3.94738,4;5;6
3749365,CONFIRMED,1,1,1,Kepler-785 b,train,1,1.97376085,178.6894194,1.82542,4;5;6
3756264,CONFIRMED,1,1,1,Kepler-1906 b,train,1,7.36272124,136.86143,1.3287,4;5;6
4055304,CONFIRMED,1,1,1,Kepler-1107 b,train,1,0.571038347,131.653752,1.1267,4;5;6
